table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja,中村北四丁目,,,中村北四丁目
stops,stop_name,en,Nakamura Kita 4-chome,,,中村北四丁目
stops,stop_name,ja-Hrkt,なかむらきたよんちょうめ、中村北4丁目、中村北4丁目,,,中村北四丁目
stops,stop_name,ja,中村南スポーツ交流センター,,,中村南スポーツ交流センター
stops,stop_name,en,Nakamura Minami Sports Koryu Center,,,中村南スポーツ交流センター
stops,stop_name,ja-Hrkt,なかむらみなみすぽーつこうりゅうせんたー,,,中村南スポーツ交流センター
stops,stop_name,ja,中村南三丁目,,,中村南三丁目
stops,stop_name,en,Nakamura Minami 3-chome,,,中村南三丁目
stops,stop_name,ja-Hrkt,なかむらみなみさんちょうめ、中村南３丁目、中村南3丁目,,,中村南三丁目
stops,stop_name,ja,中村南二丁目,,,中村南二丁目
stops,stop_name,en,Nakamura Minami 2-chome,,,中村南二丁目
stops,stop_name,ja-Hrkt,なかむらみなみにちょうめ、中村南２丁目、中村南2丁目,,,中村南二丁目
stops,stop_name,ja,中村小学校,,,中村小学校
stops,stop_name,en,Nakamura Shogakko,,,中村小学校
stops,stop_name,ja-Hrkt,なかむらしょうがっこう,,,中村小学校
stops,stop_name,ja,中村橋駅,,,中村橋駅
stops,stop_name,en,Nakamurabashi Station,,,中村橋駅
stops,stop_name,ja-Hrkt,なかむらばしえき,,,中村橋駅
stops,stop_name,ja,中板橋駅入口,,,中板橋駅入口
stops,stop_name,en,Naka-itabashi Station Iriguchi,,,中板橋駅入口
stops,stop_name,ja-Hrkt,なかいたばしえきいりぐち,,,中板橋駅入口
stops,stop_name,ja,中瀬中学校,,,中瀬中学校
stops,stop_name,en,Nakase Chugakko,,,中瀬中学校
stops,stop_name,ja-Hrkt,なかせちゅうがっこう,,,中瀬中学校
stops,stop_name,ja,中町一丁目,,,中町一丁目
stops,stop_name,en,Nakamachi 1-chome,,,中町一丁目
stops,stop_name,ja-Hrkt,なかまちいっちょうめ、中町１丁目、中町1丁目,,,中町一丁目
stops,stop_name,ja,中町二丁目（ムーバス）,,,中町二丁目（ムーバス）
