table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,zh-CN,上之桥,,,上之橋
stops,stop_name,zh-TW,上之橋,,,上之橋
stops,stop_name,ko,가미노하시,,,上之橋
stops,stop_name,ja-Hrkt,かみのはし,,,上之橋
stops,stop_name,ja,上作団地前,,,上作団地前
stops,stop_name,en,Kamisaku Danchi Mae,,,上作団地前
stops,stop_name,zh-CN,上作团地前,,,上作団地前
stops,stop_name,zh-TW,上作團地前,,,上作団地前
stops,stop_name,ko,가미사쿠 단지 앞,,,上作団地前
stops,stop_name,ja-Hrkt,かみさくだんちまえ,,,上作団地前
stops,stop_name,ja,上作延,,,上作延
stops,stop_name,en,Kamisakunobe,,,上作延
stops,stop_name,zh-CN,上作延,,,上作延
stops,stop_name,zh-TW,上作延,,,上作延
stops,stop_name,ko,가미사쿠노베,,,上作延
stops,stop_name,ja-Hrkt,かみさくのべ,,,上作延
stops,stop_name,ja,上宮内,,,上宮内
stops,stop_name,ja-Hrkt,かみみやうち,,,上宮内
stops,stop_name,ja,上小田中,,,上小田中
stops,stop_name,en,Kami-kodanaka,,,上小田中
stops,stop_name,zh-CN,上小田中,,,上小田中
stops,stop_name,zh-TW,上小田中,,,上小田中
stops,stop_name,ko,가미코다나카,,,上小田中
stops,stop_name,ja-Hrkt,かみこだなか,,,上小田中
stops,stop_name,ja,上平間,,,上平間
stops,stop_name,en,Kami-hirama,,,上平間
stops,stop_name,zh-CN,上平间,,,上平間
stops,stop_name,zh-TW,上平間,,,上平間
stops,stop_name,ko,가미히라마,,,上平間
stops,stop_name,ja-Hrkt,かみひらま,,,上平間
stops,stop_name,ja,上平間住宅前,,,上平間住宅前
stops,stop_name,en,Kami-hirama Jūtaku Mae,,,上平間住宅前
stops,stop_name,zh-CN,上平间住宅前,,,上平間住宅前
stops,stop_name,zh-TW,上平間住宅前,,,上平間住宅前
stops,stop_name,ko,가미히라마 주택 앞,,,上平間住宅前
stops,stop_name,ja-Hrkt,かみひらまじゅうたくまえ,,,上平間住宅前
stops,stop_name,ja,上平間公社住宅前,,,上平間公社住宅前
stops,stop_name,en,Kami-hirama Kōsha-jūtaku Mae,,,上平間公社住宅前
stops,stop_name,zh-CN,上平间公社住宅前,,,上平間公社住宅前
stops,stop_name,zh-TW,上平間公社住宅前,,,上平間公社住宅前
stops,stop_name,ko,가미히라마 공사주택 앞,,,上平間公社住宅前
stops,stop_name,ja-Hrkt,かみひらまこうしゃじゅうたくまえ,,,上平間公社住宅前
stops,stop_name,ja,上河原,,,上河原
stops,stop_name,en,Kamiｇawara,,,上河原
stops,stop_name,zh-CN,上河原,,,上河原
stops,stop_name,zh-TW,上河原,,,上河原
